,Spring 2014 Practice Schedule,,,,
,,,,,
,,Version 5 - 2/5/14,,,
,,,,,
Notes:,Bold time slots are slots with a head coach having more than one team,,,,
,"60 teams, white slot(s) = mixed age groups",,,,
,,,,,
Sat 2/8,Field 1,Field 2,Field 3,Field 4,Field 5
,12UF1,12UF4,10UF7/10UF5,14US3,14US4
,8:30,8:30,8:30,8:30,8:30
,15F5,15F6,14UF1,15F1,14UF3
,,,,,
Tue 2/25,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,8U7/8U8,8U3/8U4,8U5/8U6,10UF1/10UF2,10UF8/10UF6
,7:15,7:15,7:15,7:15,7:15
,12UF5,12US1,12US2,12US3,12UF3
,8:30,8:30,8:30,8:30,8:30
,19US1,19US2,19US3,19US4,19US5
,,,,,
Wed 2/26,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,open,open,open,open,open
,7:15,7:15,7:15,7:15,7:15
,19US1,19US2,19US3,19US4,19US5
,,,,,
Thu 2/27,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,8U1/8U2,8U9/8U10,8U11/8U12,SRS2/SRS3,10UF9/10UF10
,7:15,7:15,7:15,7:15,7:15
,12UF2,12UF6,12UF3,14US2,12UF7
,8:30,8:30,8:30,8:30,8:30
,14US1,14UF2,15F2,15F3,15F4
,,,,,
Sat 3/1,Field 1,Field 2,Field 3,Field 4,Field 5
,9:00,9:00,9:00,9:00,9:00
,SS1/SS2/SS3,SS4/SS5,SRS1/SRS2/SRS3,SRS4/SRS5,8U1/8U2/8U12
,10:30,10:30,10:30,10:30,10:30
,8U4/8U5/8U6,10UF7/10UF5,8U10/8U11/8U3,8U7/8U8/8U9,10UF1/10UF2
,12:00,12:00,12:00,12:00,12:00
,12UF5/12UF7,12US3/12UF4,10UF3/10UF6,10UF4/10UF8,10UF9/10UF10
,1:30,1:30,1:30,1:30,1:30
,12UF1/12UF2,12UF6,14UF1/14UF3,15F1/15F2,15F3/15F4
,3:00,3:00,3:00,3:00,3:00
,12US1/12US2,14UF2,14US1/14US2,15F5/15F6,14US3/14US4
,,,,,
Mon 3/3,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,SS1/SS2,SS3/SS4,SS5/SRS1,10UF4/10UF3,SRS4/SRS5
,7:15,7:15,7:15,7:15,7:15
,12UF1,12UF4,10UF7/10UF5,14US3,14US4
,8:30,8:30,8:30,8:30,8:30
,15F5,15F6,14UF1,15F1,14UF3
,,,,,
Tue 3/4,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,8U7/8U8,8U3/8U4,8U5/8U6,10UF1/10UF2,10UF8/10UF6
,7:15,7:15,7:15,7:15,7:15
,12UF5,12US1,12US2,12US3,12UF3
,8:30,8:30,8:30,8:30,8:30
,19US1,19US2,19US3,19US4,19US5
,,,,,
Wed 3/5,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,open,open,open,open,open
,7:15,7:15,7:15,7:15,7:15
,19US1,19US2,19US3,19US4,19US5
,,,,,
Thu 3/6,Field 1,Field 2,Field 3,Field 4,Field 5
,6:00,6:00,6:00,6:00,6:00
,8U1/8U2,8U9/8U10,8U11/8U12,SRS2/SRS3,10UF9/10UF10
,7:15,7:15,7:15,7:15,7:15
,12UF2,12UF6,12UF3,14US2,12UF7
,8:30,8:30,8:30,8:30,8:30
,14US1,14UF2,15F2,15F3,15F4
